SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-16-2018,Condo/Co-op,930 Pine St #303,San Francisco,CA,94108,1090000,2,1.5,Downtown,1026,,1973,772,1062,738,Sold,,,http://www.redfin.com/CA/San-Francisco/930-Pine-St-94108/unit-303/home/1226462,San Francisco MLS,470595,N,Y,37.7910683,-122.4113131
PAST SALE,February-7-2019,Single Family Residential,329 6th Ave,San Francisco,CA,94118,2250000,4,3,Inner Richmond,2586,2996,1903,597,870,,Sold,,,http://www.redfin.com/CA/San-Francisco/329-6th-Ave-94118/home/611743,San Francisco MLS,477889,N,Y,37.7819109,-122.4646036
PAST SALE,March-26-2018,Single Family Residential,126 Middlefield Dr,San Francisco,CA,94132,1788000,3,2,Lake Shore,1415,3497,1950,915,1264,,Sold,,,http://www.redfin.com/CA/San-Francisco/126-Middlefield-Dr-94132/home/845231,San Francisco MLS,467136,N,Y,37.7317897,-122.4859734
PAST SALE,,Condo/Co-op,184 Locksley Ave #1,San Francisco,CA,94122,530000,,6,,,,1964,,,,,,,http://www.redfin.com/CA/San-Francisco/184-Locksley-Ave-94122/unit-1/home/1501296,,,N,Y,37.7569137,-122.4626023
PAST SALE,March-26-2018,Condo/Co-op,2121 Taylor St #4,San Francisco,CA,94133,1450000,2,2,Russian Hill,1399,,1981,915,1036,372,Sold,,,http://www.redfin.com/CA/San-Francisco/2121-Taylor-St-94133/unit-4/home/1665664,San Francisco MLS,466298,N,Y,37.8020071,-122.4149375
PAST SALE,November-14-2017,Single Family Residential,1081 Portola Dr,San Francisco,CA,94127,1550000,2,1,Miraloma Park,1573,3371,1926,1047,985,,Sold,,,http://www.redfin.com/CA/San-Francisco/1081-Portola-Dr-94127/home/1773582,San Francisco MLS,463297,N,Y,37.740205,-122.458361
PAST SALE,December-7-2017,Single Family Residential,160 Gold Mine Dr,San Francisco,CA,94131,2950000,4,4.5,Diamond Heights,3860,5998,1974,1024,764,,Sold,,,http://www.redfin.com/CA/San-Francisco/160-Gold-Mine-Dr-94131/home/842768,San Francisco MLS,464156,N,Y,37.7428195,-122.4394425
PAST SALE,November-22-2017,Condo/Co-op,2 Mint Plz #501,San Francisco,CA,94103,1095000,1,1,South of Market,1242,,1926,1039,882,1037,Sold,,,http://www.redfin.com/CA/San-Francisco/2-Mint-Plz-94103/unit-501/home/12397595,San Francisco MLS,464574,N,Y,37.7831725,-122.407689
PAST SALE,March-8-2019,Condo/Co-op,795 Sutter St #303,San Francisco,CA,94109,1970000,3,2,Downtown,1820,,1913,568,1082,1197,Sold,,,http://www.redfin.com/CA/San-Francisco/795-Sutter-St-94109/unit-303/home/1936200,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40849912,N,Y,37.7884037,-122.4132603
PAST SALE,March-21-2018,Single Family Residential,955 Portola Dr,San Francisco,CA,94127,1748750,3,2,Miraloma Park,2362,3550,,920,740,,Sold,,,http://www.redfin.com/CA/San-Francisco/955-Portola-Dr-94127/home/2016618,San Francisco MLS,467121,N,Y,37.7424348,-122.4552494
PAST SALE,April-10-2018,Single Family Residential,255 Dellbrook Ave,San Francisco,CA,94131,1437000,3,2,Midtown Terrace,1556,,1956,900,924,2,Sold,,,http://www.redfin.com/CA/San-Francisco/255-Dellbrook-Ave-94131/home/1271678,San Francisco MLS,468073,N,Y,37.7502692,-122.4532922
PAST SALE,,Condo/Co-op,1097 Howard St #203,San Francisco,CA,94103,985000,1,1,,,,1998,,,,,,,http://www.redfin.com/CA/San-Francisco/1097-Howard-St-94103/unit-203/home/12395791,,,N,Y,37.7779951,-122.4089145
PAST SALE,March-8-2018,Single Family Residential,28 Sequoia Way,San Francisco,CA,94127,1900000,3,2.5,Miraloma Park,2149,3314,1931,933,884,,Sold,,,http://www.redfin.com/CA/San-Francisco/28-Sequoia-Way-94127/home/684872,San Francisco MLS,467011,N,Y,37.7396876,-122.4489097
PAST SALE,April-27-2018,Single Family Residential,340 Magellan Ave,San Francisco,CA,94116,2908888,4,2.5,Forest Hill,2787,3332,1922,883,1044,29,Sold,,,http://www.redfin.com/CA/San-Francisco/340-Magellan-Ave-94116/home/2013560,San Francisco MLS,468630,N,Y,37.7454665,-122.4632989
PAST SALE,April-9-2018,Condo/Co-op,206 Summit Way,San Francisco,CA,94132,1180000,3,2,Stonestown,1547,,2016,901,763,182,Sold,,,http://www.redfin.com/CA/San-Francisco/206-Summit-Way-94132/home/144064422,San Francisco MLS,467974,N,Y,37.7156423,-122.4767909
PAST SALE,June-14-2018,Condo/Co-op,1001 Pine #903,San Francisco,CA,94109,780000,1,1,Downtown,616,,,835,1266,510,Sold,,,http://www.redfin.com/CA/San-Francisco/1001-Pine-St-94109/unit-903/home/1755002,San Francisco MLS,469953,N,Y,37.7903477,-122.4125675
PAST SALE,,Single Family Residential,349 3rd Ave,San Francisco,CA,94118,225000,,2,,,3000,1900,,,,,,,http://www.redfin.com/CA/San-Francisco/349-3rd-Ave-94118/home/1350254,,,N,Y,37.7821848,-122.4614193
PAST SALE,October-17-2018,Condo/Co-op,1145 Anza St,San Francisco,CA,94118,820000,2,1,Inner Richmond,838,,1924,710,979,188,Sold,,,http://www.redfin.com/CA/San-Francisco/1145-Anza-St-94118/home/40456914,San Francisco MLS,475989,N,Y,37.7791009,-122.4607107
PAST SALE,December-18-2017,Single Family Residential,315 Crestmont Dr,San Francisco,CA,94131,1600000,3,2.5,Forest Knolls,2870,3785,1964,1013,557,,Sold,,,http://www.redfin.com/CA/San-Francisco/315-Crestmont-Dr-94131/home/1840498,San Francisco MLS,464683,N,Y,37.7574,-122.4604252
PAST SALE,April-13-2018,Condo/Co-op,1919 Grant Ave,San Francisco,CA,94109,1775000,2,2,Telegraph Hill,,,1907,897,,400,Sold,,,http://www.redfin.com/CA/San-Francisco/1919-Grant-Ave-94133/home/104518609,San Francisco MLS,467513,N,Y,37.804673,-122.408612
PAST SALE,April-6-2018,Condo/Co-op,215 Red Rock Way Unit 107J,San Francisco,CA,94131,770000,1,1,Diamond Heights,744,,1972,904,1035,544,Sold,,,http://www.redfin.com/CA/San-Francisco/215-Red-Rock-Way-94131/unit-107J/home/1640526,San Francisco MLS,467819,N,Y,37.7456324,-122.4425825
PAST SALE,October-5-2017,Condo/Co-op,911 Central Ave,San Francisco,CA,94115,1665000,4,2,North Panhandle,1976,,1905,1087,843,410,Sold,,,http://www.redfin.com/CA/San-Francisco/911-Central-Ave-94115/home/17305821,San Francisco MLS,461507,N,Y,37.778262,-122.445589
PAST SALE,September-28-2017,Multi-Family (5+ Unit),1402 Kearny St,San Francisco,CA,94113,1600000,8,,Telegraph Hill,5118,1855,1906,1094,313,,Sold,,,http://www.redfin.com/CA/San-Francisco/1402-Kearny-St-94133/home/1722287,San Francisco MLS,460712,N,Y,37.8010669,-122.4059716
PAST SALE,August-25-2020,Condo/Co-op,900 Bush St #904,San Francisco,CA,94109,820000,2,2,Nob Hill,842,,1982,32,974,1048,Sold,,,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-904/home/554352,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906418,N,Y,37.7899451,-122.4127266
PAST SALE,October-31-2017,Condo/Co-op,2735 Clay St #4,San Francisco,CA,94115,840000,1,1,Pacific Heights,,,1911,1061,,164,Sold,,,http://www.redfin.com/CA/San-Francisco/2735-Clay-St-94115/unit-4/home/979492,San Francisco MLS,463598,N,Y,37.7899566,-122.4380215
PAST SALE,,Condo/Co-op,960 Anza St #8,San Francisco,CA,94118,865000,12,8,,,,1936,,,,,,,http://www.redfin.com/CA/San-Francisco/960-Anza-St-94118/unit-8/home/594828,,,N,Y,37.7796802,-122.4575604
PAST SALE,October-31-2017,Condo/Co-op,733 Front St #706,San Francisco,CA,94111,1025000,1,1,Financial District,773,,,1061,1326,787,Sold,,,http://www.redfin.com/CA/San-Francisco/733-Front-St-94111/unit-706/home/12437821,San Francisco MLS,460028,N,Y,37.798027,-122.4000919
PAST SALE,April-23-2018,Single Family Residential,46 Chabot Ter,San Francisco,CA,94118,2075000,4,2,Lone Mountain,1928,2495,1941,887,1076,,Sold,,,http://www.redfin.com/CA/San-Francisco/46-Chabot-Ter-94118/home/1716710,San Francisco MLS,463896,N,Y,37.7774245,-122.4511692
PAST SALE,April-20-2018,Single Family Residential,3020 Pacific Ave,San Francisco,CA,94115,16500000,9,5,Pacific Heights,6540,5301,1900,890,2523,,Sold,,,http://www.redfin.com/CA/San-Francisco/3020-Pacific-Ave-94115/home/1852892,San Francisco MLS,469718,N,Y,37.7922921,-122.4451599
PAST SALE,December-28-2017,Multi-Family (2-4 Unit),28-30 Sonoma St,San Francisco,CA,94133,1375000,4,2,Telegraph Hill,1470,,1906,1003,935,,Sold,,,http://www.redfin.com/CA/San-Francisco/28-Sonoma-St-94133/home/110052560,San Francisco MLS,463010,N,Y,37.8002501,-122.4061984
PAST SALE,July-2-2020,Condo/Co-op,63 Glover St,San Francisco,CA,94109,1080000,2,1,Russian Hill,853,,1914,86,1266,200,Sold,,,http://www.redfin.com/CA/San-Francisco/63-Glover-St-94109/home/52059379,San Francisco MLS,499095,N,Y,37.797027,-122.416279
PAST SALE,November-1-2019,Single Family Residential,2614 Fulton St,San Francisco,CA,94118,2925000,4,3.5,Inner Richmond,2650,2739,1925,330,1104,,Sold,,,http://www.redfin.com/CA/San-Francisco/2614-Fulton-St-94118/home/1910341,San Francisco MLS,489787,N,Y,37.7744021,-122.4598914
PAST SALE,October-31-2017,Single Family Residential,65 Almaden Ct,San Francisco,CA,94118,1825000,3,1.5,Lone Mountain,,2818,1936,1061,,,Sold,,,http://www.redfin.com/CA/San-Francisco/65-Almaden-Ct-94118/home/1341147,San Francisco MLS,462678,N,Y,37.7798907,-122.4580248
PAST SALE,March-2-2018,Single Family Residential,1809 Lyon St,San Francisco,CA,94115,4010000,3,3.5,Pacific Heights,3070,2760,1900,939,1306,,Sold,,,http://www.redfin.com/CA/San-Francisco/1809-Lyon-St-94115/home/1236667,San Francisco MLS,467314,N,Y,37.7877837,-122.4456843
PAST SALE,March-28-2018,Multi-Family (5+ Unit),667 47th Ave,San Francisco,CA,94121,3421250,8,,Outer Richmond,5876,4957,1949,913,582,,Sold,,,http://www.redfin.com/CA/San-Francisco/667-47th-Ave-94121/home/2007830,San Francisco MLS,466634,N,Y,37.7756307,-122.5084508
PAST SALE,November-9-2017,Multi-Family (2-4 Unit),2014-2016 McAllister St,San Francisco,CA,94118,1325000,5,2,North Panhandle,,2500,1900,1052,,,Sold,,,http://www.redfin.com/CA/San-Francisco/2014-McAllister-St-94118/home/1323785,San Francisco MLS,463020,N,Y,37.7771409,-122.445355
PAST SALE,October-31-2017,Condo/Co-op,105 Palm Ave #2,San Francisco,CA,94118,1015000,2,1,Jordan Park/Laurel Heights,1005,,1900,1061,1010,368,Sold,,,http://www.redfin.com/CA/San-Francisco/105-Palm-Ave-94118/unit-2/home/1209798,San Francisco MLS,460935,N,Y,37.7836189,-122.4582043
PAST SALE,March-18-2018,Single Family Residential,5601 Anza St,SAN FRANCISCO,CA,94121,3200000,5,4.5,SAN FRANCISCO,3221,2696,1941,923,993,,Sold,,,http://www.redfin.com/CA/San-Francisco/5601-Anza-St-94121/home/1524393,MLSListings,ML81692970,N,Y,37.7769211,-122.5084219
PAST SALE,May-31-2019,Condo/Co-op,900 Bush St #508,San Francisco,CA,94109,664050,1,1,Downtown,687,,1982,484,967,1019,Sold,,,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-508/home/1617041,San Francisco MLS,479536,N,Y,37.7899451,-122.4127266
