SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-14-2018,Condo/Co-op,1543 Day Ave Unit A,San Mateo,CA,94403,925000,3,1.5,San Mateo County,1054,173094,1961,743,878,460,Sold,,,http://www.redfin.com/CA/San-Mateo/1543-Day-Ave-94403/unit-A/home/968342,BAREIS,21820063,N,Y,37.551734,-122.287217
PAST SALE,April-9-2020,Condo/Co-op,490 Mariners Island Blvd #213,SAN MATEO,CA,94404,725000,1,1.0,SAN MATEO,965,,1978,170,751,580,Sold,,,http://www.redfin.com/CA/San-Mateo/490-Mariners-Island-Blvd-94404/unit-213/home/1326843,MLSListings,ML81785934,N,Y,37.5672928,-122.2848318
PAST SALE,April-3-2020,Condo/Co-op,1576 Marina Ct Unit C,SAN MATEO,CA,94403,830000,3,1.0,SAN MATEO,1054,,1961,176,787,538,Sold,,,http://www.redfin.com/CA/San-Mateo/1576-Marina-Ct-94403/unit-C/home/968257,MLSListings,ML81781771,N,Y,37.5505731,-122.2861899
PAST SALE,March-13-2018,Condo/Co-op,1951 O'Farrell St #420,SAN MATEO,CA,94403,918888,1,1.0,SAN MATEO,1084,,1974,928,848,398,Sold,,,http://www.redfin.com/CA/San-Mateo/1951-O-Farrell-St-94403/unit-420/home/1558731,MLSListings,ML81692793,N,Y,37.5478424,-122.3140506
PAST SALE,August-13-2020,Single Family Residential,1771 Hamlet St,SAN MATEO,CA,94403,1140000,3,2.0,SAN MATEO,1490,5150,1954,44,765,,Sold,,,http://www.redfin.com/CA/San-Mateo/1771-Hamlet-St-94403/home/2056208,MLSListings,ML81795100,N,Y,37.5574566,-122.2962013
PAST SALE,,Condo/Co-op,808 Laurel Ave #205,San Mateo,CA,94401,100000,1,1.0,,774,,1961,,129,,,,,http://www.redfin.com/CA/San-Mateo/808-Laurel-Ave-94401/unit-205/home/17308142,,,N,Y,37.5609355,-122.3201742
PAST SALE,September-21-2020,Condo/Co-op,800 Wharfside Rd,SAN MATEO,CA,94404,949000,1,1.5,SAN MATEO,1150,,1979,5,825,623,Sold,,,http://www.redfin.com/CA/San-Mateo/800-Wharfside-Rd-94404/home/1652916,MLSListings,ML81805964,N,Y,37.560573,-122.288637
PAST SALE,August-24-2020,Townhouse,1665 Via Laguna #6,SAN MATEO,CA,94404,1175000,3,2.0,SAN MATEO,1280,53392,1984,33,918,495,Sold,,,http://www.redfin.com/CA/San-Mateo/1665-Via-Laguna-94404/unit-6/home/2057712,MLSListings,ML81800153,N,Y,37.5550496,-122.2852481
PAST SALE,,Vacant Land,,,CA,,110000,,,,,6897,,,,,,,,http://www.redfin.com/CA/Unknown/Unknown-Unknown/home/161161622,,,N,Y,37.517843,-122.320005
PAST SALE,,Condo/Co-op,1 Baldwin Ave #412,San Mateo,CA,94401,500000,1,1.0,,1000,,1988,,500,,,,,http://www.redfin.com/CA/San-Mateo/1-Baldwin-Ave-94401/unit-412/home/1353979,,,N,Y,37.5661064,-122.3279541
